sentiment,message,tweetid,languages
0,@ShellenbergerMD @DrSimEvans @bradplumer @JigarShahDC должны ли мы заботиться об экономике в борьбе с изменением климата?,793138073542549504,ru
1,"@Nadeshot это так, как в большинстве мест сейчас, это называется изменение климата",793138088331522049,ru
1,RT @NatGeoChannel:在这里观看#洪水之前，@莱昂纳多·迪卡普里奥环游世界应对气候变化https://t.co/LkDehj3tNn httÃ②â， Â μ,793138745201405953,zh-CHS
2,"Видео пентагона о будущем городов предсказывает неравенство, изменение климата, дефицит, разрушение инфраструктуры: https://t.co/A6DsoGKbXD",793138781369069569,ru
0,"RT @TheFilmStage: документальный фильм леонардо дикаприо об изменении климата ""Before the Flood"" теперь бесплатно транслируется на YouTube: A ¢A, ¬ A ¦",793139153114394629,ru
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793139590265647104,de
0,"Si ce n’est pour des informations sur le changement climatique, regardez avant l’inondation parce que Leonardo DiCaprio",793140314278023168,fr
0,"RT @C__G___: Â¢â'¬Å""Niggas fragte mich, was meine Inspiration sei, ich habe ihnen die globale Erwärmung erzählt†",793140458893381632,de
0,"rt @ plesscatherine: team energy/climate change私たちはこれをチェックすべきです# mcggovt @mariamartmcg @ cocodupepepe1 @marlapeyre @elisef_fant https: a¢a, a . m",793140748812226565,ja
1,"RT @retroJACE: глобальное потепление реально, как ад. Эл гор сказал нам. Лео дикаприо пусть трина расскажет нам. Его 82 градуса и хэллоуин. ""Сумн айнт ра грауа"", ""грауа""",793141154657239040,ru
1,Ein Netz von Wahrheiten: So wirkt sich der Klimawandel nicht nur auf das Wetter aus. https://t.co/RAsbCx5Rmd #ad https://t.co/lhk0m4UeMW,793141253852594177,de
1,(翻訳:nob takahashi / facebook,793142226599698432,ja
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793142726560583680,de
1,(翻訳:nob takahashi / facebook,793143168078221312,ja
2,L'Oreal назван мировым лидером в стратегии борьбы с изменением климата #healthcare #comms #news https://t.co/nkHmNoWgNo https://t.co/0WgHPAYxEa,793143262219476993,ru
1,绿色和平组织:如果气候变化得不到控制，南欧的许多地区可能会变成沙漠。https://t.co/PGRHflqMtb可怕https:¢A¬¦,793144222987722757,zh-CHS
1,"RT @retroJACE: глобальное потепление реально, как ад. Эл гор сказал нам. Лео дикаприо пусть трина расскажет нам. Его 82 градуса и хэллоуин. ""Сумн айнт ра грауа"", ""грауа""",793146306084663296,ru
1,RT @greenpeaceusa: avez-vous manqué le premier ministre du documentaire sur le changement climatique de @LeoDiCaprio # theflood hier? Rattraper le retard ici > > Â ¢â ¦,793146637266726912,fr
1,@LeoDiCaprio @NatGeoChannel我刚刚看了。每个人，特别是世界领导人，必须团结起来，在气候变化问题上采取行动。,793147054939705344,zh-CHS
1,(翻訳:nob takahashi / facebook,793147083163336704,ja
1,"@simeonst91 ich einen neuen Think Tank für den Klimawandel erstelle, würdest du dich anschließen und deinen Tweet auch auf https://t.co/u1UbQXLmrF posten?",793147573376839680,de
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793149170940907520,de
1,「投資家は慈善家ではありません。(翻訳:nob takahashi / facebook,793149247730356224,ja
1,RT @NatGeo:我们对抗气候变化是不是太晚了?https://t.co/797Rx2UXQA YearsProject https://t.co/LV2Fy0uuge,793149503616327680,zh-CHS
1,Un homme remarquable et son travail sur le changement climatique est tellement impressionnant que plus de gens ont besoin de le voir … https://t.co/JtpuX9QYFv,793149999358050304,fr
1,"RT @NYTnickc: трамп, который когда-то назвал изменение климата обманом китайцев, рассказывает мичиганской публике: «я эколог».",793150293890457601,ru
1,"RT @NatGeoPhotos: voici ce qui se passe quand un astronaute et un acteur entament une conversation sur le changement climatique: â ¢a, ¦ a",793150554822221825,fr
1,"RT @NatGeoChannel: смотрите #BeforeTheFlood прямо здесь, как @LeoDiCaprio путешествует по миру, чтобы справиться с изменением климата https://t.co/LkDehj3tNn httA ¢a, ¬ a ¦",793150989369020418,ru
2,"RT @ABCPolitics:.@realDonaldTrump обещает аннулировать «миллиарды» фондов оон для борьбы с изменением климата, добавляет: «я эколог» https://t.co/P1HA ¢a, ¬ a ¦",793151228498866176,ru
1,[原文へ](翻訳:sako),793151562356891648,ja
1,(翻訳:nob takahashi / facebook)食肉産業は気候変動と森林破壊に大きく貢献しています!,793152052037836800,ja
1,RT @NatGeo: слишком поздно бороться с изменением климата? https://t.co/797Rx2UXQA #YearsProject https://t.co/LV2Fy0uuge,793154006486876160,ru
2,"RT @ABCPolitics: .@realDonaldTrump schwört, ""Milliarden"" an Klimaschutzfonds an die UNO zu streichen, fügt hinzu: ""Ich bin ein Umweltschützer"" https://t.co/P1HÃ ¢â'¬Â¦",793154216562946048,de
1,"RT @NYTnickc: Trump, qui a un jour traité le changement climatique de canular par les chinois, dit à la foule du Michigan: ""je suis un écologiste.""",793155080795123712,fr
0,"rt @ indiewire:レオナルド・ディカプリオの気候変動ドキュメンタリー# beforethefloodを無料オンラインで見る
https://t.co/g3iUV8yU0u https://t.co/LA¢a¬a¦",793155935954960384,ja
1,"RT @EnvDefenseFund: le changement climatique est largement accepté, mais ces 9 effets du réchauffement planétaire peuvent encore vous surprendre. https://t.co/mvKRsnQZtd",793155980456435712,fr
1,Ã， Â«地中海将成为沙漠，除非全球变暖限制在1.5CÃ， Â»,793156144105660416,zh-CHS
1,现在是2016年，我不敢相信人们仍然不相信气候变化这一该死的科学。,793156261860618241,zh-CHS
1,Respect de la souveraineté des premières Nations. Lutte contre le pétrocapitalisme. Lutter contre le changement climatique. Va le chercher. #NoDAPL,793156295671083008,fr
1,RT @greenpeaceusa: Haben Sie gestern die Premiere des Dokumentarfilms über den Klimawandel von @LeoDiCaprio #BeforeTheFlood verpasst? Informieren Sie sich hier &gt;&gt; https:Ã¢â'¬Â¦,793157967692505088,de
2,"RT @grist:.@LeoDiCaprioA ¢a, ¢a ""¢S nouveau film sur le changement climatique est maintenant en streaming https://t.co/fyeAxAr54C # ¬ theflood https://t.co/UYRZXfVWn2",793158509265387520,fr
1,刚刚在卢旺达取得了气候变化的巨大胜利Ãⅱâ， â€，注意https://t.co/bUNb0tPnfP“中国雄”,793158687225356288,zh-CHS
0,"@annaa_page я попросил отца посмотреть документальный фильм об изменении климата, который только что вышел, и легат превратил его в дело трамп против хиллари",793158746629345280,ru
1,[原文へ](翻訳:iwatani (a . k . a . hiwa),793159873450106881,ja
0,"rt @explicithooker:私:レオおいで
レオ:忙しくてできないんです
私:私の友人は地球温暖化は現実ではないと言っていました
レオ:https://t.co/kveRTYlpIi",793160239801479168,ja
0,@chefBOYERdee1阿尔·戈尔，互联网和全球变暖的创造者。,793160340515106816,zh-CHS
1,"RT @eiratansey: подготовка к моему выступлению на #pasignyc и размышления о Том, как #NoDAPL не только об изменении климата или воды, но и о ¢a, ¬ a ¦",793160405036171264,ru
1,"RT @MattMcGorry: Important article sur need 2 ne pas faire #NoDAPL uniquement sur le changement climatique, effaçant ainsi la lutte pour les droits des natifs â ¢a, ¦ a",793160889989857280,fr
0,[原文へ](翻訳:iwatani (a . k . a . hiwa))# science2016electiA¢a¬a¦,793161741563666432,ja
1,"RT @NatGeoChannel: смотрите #BeforeTheFlood прямо здесь, как @LeoDiCaprio путешествует по миру, чтобы справиться с изменением климата https://t.co/LkDehj3tNn httA ¢a, ¬ a ¦",793163136601821184,ru
0,Sehen Sie auf #Periscope: Globale Erwärmung Winston Neace https://t.co/TaPQ4b7EYJ,793164303968800768,de
1,@bmastenbrook是的，在三年级的计算机科学伦理部分写的。被否认气候变化的讲师告知我错了显著下降。,793164419261865984,zh-CHS
0,Документ National Geographic об изменении климата с дикаприо находится на YouTube https://t.co/xJHabX2CUv,793165222718603265,ru
1,RT @RickyGoss: je ne comprends pas pourquoi le changement climatique est une question politique alors qu’il s’agit clairement d’un fait scientifique.,793165643461828608,fr
0,"Wie kühlen Geister ihre Umwelt und könnten wir das nutzen, um die globale Erwärmung zu bekämpfen? #funny",793165856553459712,de
1,"@sir_mycroft @Guiteric100 @rickygervais Es ist, als würde man nicht an die globale Erwärmung glauben. Ihr Widerstand gegen den Krieg macht die Welt nicht zu einem friedlichen Ort.",793166227661172736,de
1,"RT @NatGeoChannel: смотрите #BeforeTheFlood прямо здесь, как @LeoDiCaprio путешествует по миру, чтобы справиться с изменением климата https://t.co/LkDehj3tNn httA ¢a, ¬ a ¦",793166365934792704,ru
1,"RT @NatGeoChannel: regardez # ¬ theflood ici même, alors que @LeoDiCaprio parcourt le monde entier pour lutter contre le changement climatique https://t.co/LkDehj3tNn httA ¢a, a ¦",793166372079624193,fr
1,"RT @iansomerhalder: WENN Millennials NICHT rausgehen und wählen gehen, sind wir dem Untergang geweiht. Das ist UNSERE Zukunft. Lassen Sie uns das tun. Den Klimawandel in den Griff bekommen, Frauenrecht",793167169177649152,de
0,"RT @explicithooker: Ich: Leo komm vorbei
Leo: Ich kann nicht beschäftigt sein
Ich: Mein Freund sagte, die globale Erwärmung sei nicht real
Löwe: https://t.co/kveRTYlpIi",793167508576604160,de
0,@alroker AL，我可能和莱特兄弟有关系，我想我刚刚解决了全球变暖问题。我给每个人发了邮件!,793168139777298432,zh-CHS
1,"9 façons dont le réchauffement climatique affecte la vie quotidienne: disparition des lacs, approvisionnement en eau potable en danger https://t.co/TPK7Di859X via @EnvDefenseFund",793168556972183552,fr
2,"#weather Mittelmeer zur Wüste wird, es sei denn, die globale Erwärmung wird auf 1,5 ° C begrenzt, warnt die Studie Ã¢â'¬â€œ Bewohnte https://t.co/xm4Zq3X8kp #forecast",793168958559952896,de
2,"# météo méditerranéenne pour devenir désert à moins que le réchauffement climatique ne se limite à 1,5a, un °C, une étude prévient â ¢A, ¬ A hausse dans l’habitat https://t.co/DJKmdnWYDa #forecast",793168974510821376,fr
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793169076113649664,de
0,"RT @CatalyticRxn: Der Begriff ""globale Erwärmung"" war unter Konservativen umstrittener als ""Klimawandel"". Den Liberalen war das egal. #sciwri16",793169535264096256,de
0,Le documentaire sur le changement climatique de Leonardo DiCaprio est gratuit pour un temps limité https://t.co/xCXLUJ3WCC https://t.co/vfpPFL4039,793169754068512771,fr
2,RT @thinkprogress: поможет ли глобальное потепление повысить рекордную явку избирателей? https://t.co/r7M77EAXeC https://t.co/detOUvCCWr,793169883290820608,ru
2,Les Tories de l’Alberta perdent un gros sujet qu’ils ont utilisé pour attaquer l’approche de Notley face au changement climatique. https://t.co/VFqCYcKmuR,793169987393482753,fr
1,RT @_madisonwalsh_: si vous ne croyez pas au réchauffement climatique venez à Tallahassee rn,793170553100263425,fr
1,"RT @credfernjr: nous venons d’entrer dans une ""nouvelle ère"" alarmante de réchauffement climatique https://t.co/WlTaD5O4km via @mashable",793171126775984129,fr
1,RT @retroJACE: Globale Erwärmung real wie die Hölle. al gore erzählte es uns. leo dicaprio keep tryna tell us. seine 82 Grad und sein Halloween. sumn aint rÃ¢â'¬Â¦,793171794907664384,de
2,Hören Sie sich 58 Jahre Klimawandel in einer Minute an - PBS NewsHour https://t.co/Y49dKmP01S https://t.co/aPrUrG3tuC,793172113607852037,de
0,@RonBaalke @Newegg et avec le changement climatique nous pouvons nous attendre à ce que les astéroïdes deviennent plus fréquents et plus puissants,793172178250391552,fr
1,"RT @NatGeoChannel: regardez # ¬ theflood ici même, alors que @LeoDiCaprio parcourt le monde entier pour lutter contre le changement climatique https://t.co/LkDehj3tNn httA ¢a, a ¦",793173062564872192,fr
1,"RT @Jon_Pantaloon: Ich schwöre, wenn es an Weihnachten wieder 80 Grad sind, werde ich persönlich die globale Erwärmung besiegen. Revenge ist ein Gericht, das am besten kalt serviert wird",793174254611070976,de
1,"RT @NatGeoChannel: regardez # ¬ theflood ici même, alors que @LeoDiCaprio parcourt le monde entier pour lutter contre le changement climatique https://t.co/LkDehj3tNn httA ¢a, a ¦",793174503790612480,fr
1,"@CertainSm1 IA ¢a, ¬ a ""¢pour la création d’un nouveau groupe de réflexion sur le changement climatique, joindrez-vous à nous et posteriez-vous aussi votre tweet sur https://t.co/u1UbQXLmrF?",793174766844805120,fr
2,La récente tendance de la couverture nuageuse pourrait avoir masqué un certain réchauffement de la planète https://t.co/S3ahtG8xfC,793175610134855680,fr
2,(翻訳:nob takahashi / facebook,793175693320396800,ja
1,"RT @NatGeoChannel: regardez # ¬ theflood ici même, alors que @LeoDiCaprio parcourt le monde entier pour lutter contre le changement climatique https://t.co/LkDehj3tNn httA ¢a, a ¦",793175797985148928,fr
1,RT @NewsHour: Hören Sie sich 58 Jahre Klimawandel in einer Minute https://t.co/3yHZ7omEsT an (über @KUOW und @EarthFixMedia),793175991875088384,de
2,[原文へ](翻訳:iwatani (a . k . a . hiwa),793176939754299393,ja
2,Les Satellites aident les scientifiques à voir les forêts pour les arbres au milieu du changement climatique - https://t.co/5BO6g7n50p https://t.co/VxlncRmFMf,793177948001939457,fr
1,RT @retroJACE: Globale Erwärmung real wie die Hölle. al gore erzählte es uns. leo dicaprio keep tryna tell us. seine 82 Grad und sein Halloween. sumn aint rÃ¢â'¬Â¦,793178079581659136,de
1,(翻訳:nob takahashi / facebook,793178337380298756,ja
1,RT @cieriapoland:当你考虑到全球变暖，这个万圣节变得更可怕了，10月的温度是80华氏度。我们是destroyA¢a¬¦,793178657523109888,zh-CHS
1,"RT @GPUSyouth: именно, оздоровление экономики и Решение проблемы изменения климата w/ чрезвычайной ситуации #GreenNewDeal является «ужасным», @MDSienzant. A ° A ¸ A 'A ³ @LavenderGreeA ¢A, ¬ A ¦",793178862674776065,ru
1,RT @cieriapoland: cet Halloween devient beaucoup plus effrayant quand on considère que BC du réchauffement climatique il fait 80 degrés en octobre & Nous sommes destroyA ¢â â ¦,793179254922051585,fr
1,rt @smerconish:「討論の間、気候変動についての単一の質問がないということは、頭を悩ます…^ a b c de f g h i「「ミヒャエル」とは,793179371163029509,ja
1,これが私たちの本当の姿なのでしょうか?偏見、人種差別、反女性、反ジャーナリズム、反気候変動を促進するリーダーを持つ国?,793180225093898240,ja
1,"RT @xeni: # хэллоуин в порядке, но если вы действительно хотите бояться смотреть этот новый @NatGeoA ¢a, ¬ a €¹ climate change doc с @LeoDiCaprio https://t.co/rUFMA ¢a, ¬ a ¦",793180381470154753,ru
1,"RT @NatGeoChannel: смотрите #BeforeTheFlood прямо здесь, как @LeoDiCaprio путешествует по миру, чтобы справиться с изменением климата https://t.co/LkDehj3tNn httA ¢a, ¬ a ¦",793180871243235333,ru
1,"100% согласны с @DrJillStein об изменении климата. Выбор на этих выборах выглядит на 100 шагов назад, 50 шагов вперед, или ноль.",793181583348002817,ru
1,"RT @BoingBoing: #Halloween, ça va, mais si tu veux vraiment avoir peur, regarde ce nouveau @NatGeoA ¢a, ¬ a ¹ climate change doc avec @LeoDiCaprio https://t.cA ¢a, ¬ a ¦",793181783785345024,fr
0,75 Grad in StL am letzten Tag im Oktober. Ich bin ganz für diesen Schwindel der globalen Erwärmung!,793194244034863105,de
1,Вы все еще не верите в глобальное потепление SMH https://t.co/T4Bdp0BSMJ,793194502538268672,ru
1,"Jeder muss #BeforetheFlood beobachten. Großartiger Dokumentarfilm von @LeoDiCaprio und seinem Team, der die Auswirkungen des Klimawandels zeigt. Augenöffnend",793194536608595969,de
-1,@ angienbc6気候変動は自然なもので、必ずしも人間が引き起こしたものではないということはわかっていますね。マイアミで雪が降り、大西洋が凍った,793195493568413696,ja
2,Les récentes tendances de la couverture nuageuse ont peut-être masqué un réchauffement de la planète https://t.co/GmEGtigEhk,793196126363062274,fr
0,谷歌是非常奇怪的，我们知道他们操纵搜索结果，但我醒来时看到YouTube上加载了一个气候变化纪录片…,793196495944097792,zh-CHS
1,"RT @GreenPartyUS: Die menschlichen Kosten des Klimawandels sind zu hoch. Wir müssen bis 2030 von fossilen Brennstoffen zu erneuerbaren Energien übergehen, wenn wir",793196617402679296,de
0,@COP22: 4天后，历史上最雄心勃勃的气候变化协议将生效。你读过《巴黎协议》吗?一个¢A¬¦,793197191443603456,zh-CHS
1,RT @JuanH_18: c’est le dernier jour du mois d’octobre et c’est comme si c’était le printemps qui criait le réchauffement climatique une fois,793197468116668416,fr
0,"Ниггеры спросили меня, что меня вдохновило, когда я сказал о глобальном потеплении.",793197681317412864,ru
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793198030895874049,de
0,"Они спрашивают меня о моем вдохновении я говорю им о глобальном потеплении, слишком уютно",793198718279258113,ru
2,"RT @s_guilbeault: Канада не готова к изменению климата, сообщает https://t.co/5YWljFkdA3",793199531127078916,ru
1,这可能是今年万圣节你会看到的最可怕的东西。莱昂纳多·迪卡普里奥的气候变化纪录片https://t.co/yOYFB5Oi2P,793200112382115840,zh-CHS
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793200362610012160,de
1,rt @ natgeochannel:毎日の生活の中で気候変動と戦う最も簡単な方法の1つは、牛肉を食べるのをやめることです。なぜ:¢A¬A¦,793200394591674368,ja
1,RT @cieriapoland: cet Halloween devient beaucoup plus effrayant quand on considère que BC du réchauffement climatique il fait 80 degrés en octobre & Nous sommes destroyA ¢â â ¦,793202383396274176,fr
1,"RT @UNHumanRights: Hauptemittenten von Treibhausgasen müssen gefährdeten Ländern wie Madagaskar helfen, die schlimmsten Auswirkungen des Klimawandels zu vermeiden.",793202953922473984,de
1,"@adamelman:气候变化的8个令人恶心的副作用
https://t.co/LrwfTzF3XG",793204013034602496,zh-CHS
1,在你的日常生活中，帮助对抗气候变化的一个最简单的方法就是停止吃牛肉。原因:一个¢A¬¦,793204092441137152,zh-CHS
1,RT @jankivelli: Die globale Erwärmung ist so real für den Menschen.,793204322083274752,de
2,(翻訳:nob takahashi / facebook,793204747494825984,ja
1,"RT @NatGeoChannel: смотрите #BeforeTheFlood прямо здесь, как @LeoDiCaprio путешествует по миру, чтобы справиться с изменением климата https://t.co/LkDehj3tNn httA ¢a, ¬ a ¦",793205979487895552,ru
1,RT @ senanders:达科塔管道项目将是我们对抗气候变化的巨大打击。# NoDAPL https://t.co/47m6yUu4m5,793206517629497344,zh-CHS
1,RT @NatGeoChannel:在这里观看#洪水之前，@莱昂纳多·迪卡普里奥环游世界应对气候变化https://t.co/LkDehj3tNn httÃ②â， Â μ,793207429303508993,zh-CHS
1,@ potus watching @ leodicaprio docu。# dapl # nodapl # climateactionに何もしていないのに、気候変動について何かしていると言っているのが面白い,793208140636364800,ja
2,"RT @YEARSofLIVING: ’des années de vie dangereux’, bondé de Célèbes, veut faire du changement climatique un sujet de vote https://t.co/JLCnrZMtuv viaA ¢a, ¬ a ¦",793208575308988416,fr
1,RT @NatureEcoEvo: Die Verwendung paläoökologischer Daten erhöht die Größenordnung der vorhergesagten Reaktion der Pflanzenarten auf den Klimawandel,793208622935265281,de
1,(翻訳:nob takahashi / facebook,793208761221459969,ja
0,"RT @COP22: l’accord sur le changement climatique le plus ambitieux de l’histoire entre en vigueur dans 4 jours. ¢a, ¬ a ¦ â ¢a, ¬ a ¦ a ¢a ¢a, ¬ a ¦ a ¢a ¢a, ¬ a ¦ a ¢a ¢a, ¬ a ¦ â ¢a ¢a, ¬ a ¦ https://t.co/KqFyyWF8uD",793209818219581440,fr
0,@highwaystarzo地球温暖化の恩恵の1 &amp;国際テロは、より多くの人々がイングランドで休暇を取っているということです、病気はそれを飲む,793210532618698752,ja
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793210653867663360,de
1,@TL_Wiese @HillaryClinton @realDonaldTrump il est têtu et rancunier. Il est pour les armes nucléaires. Il pense que le changement climatique est un canular.,793210870323109890,fr
1,思考wonÃ①â，②â①阻止气候变化https://t.co/X2UMmx3VZ1,793211010949656576,zh-CHS
0,"RT @ddale8: Trump schwört erneut, den US-Beitrag zum UN-Klimaschutzprogramm zu streichen und für sauberes Wasser und saubere Luft in Amã¢â'¬Â¦",793211371546611712,de
1,[原文へ](翻訳:iwatani (a . k . a . hiwa),793211494317985792,ja
1,@fisherstevensbk #beforetheflood mir mehr über den Klimawandel beigebracht als meine gesamte formale Ausbildung!! aufschlussreich und mutig!!,793211788762296320,de
1,"RT @NatGeoChannel: regardez # ¬ theflood ici même, alors que @LeoDiCaprio parcourt le monde entier pour lutter contre le changement climatique https://t.co/LkDehj3tNn httA ¢a, a ¦",793211847776333824,fr
1,"私は常に気候変動の大暴れの瀬戸際にいます
私たちは地球を殺している人々は目を覚ます",793212518965518336,ja
1,"RT @UN: 12 #globalgoals stehen in direktem Zusammenhang mit dem Klimawandel. Die #ParisAgreement ist entscheidend, um sie zu erreichen. Ã¢â'¬Â¦",793213258824032256,de
0,"@michellemalkin трамп победил на выборах В настоящее время он является катализатором изменения климата в секторе водоснабжения, санитарии и гигиены. Больше никакой грязной работы, они будут подотчетны, нопенсия",793214420247805952,ru
1,RT @BitsieTulloch: Happy Ã°Å ̧â€™â'¬Ã°Å ̧Å1/2Æ'Ã°Å ̧â€¢Â ̧! Möchten Sie etwas wirklich Beängstigendes sehen? @NatGeo &amp; @LeoDiCaprio haben einen großartigen Dokumentarfilm über die globale Erwärmung gedreht: http¢â'¬Â¦,793214562908733440,de
2,"rt @ cechr _ uod:インドの農家は木を武器に気候変動と闘っています
(翻訳:nob takahashi / facebook",793214778856595456,ja
1,rt @ petemadigan:誰もが@ leodicaprioが制作した気候変動に関する素晴らしいドキュメンタリー# beforethefloodを観る必要があります,793215256055181312,ja
2,Wolkiges Feedback zur globalen Erwärmung - https://t.co/fS6IM9qPWD https://t.co/5j7XG3L2Gz #global https://t.co/QYBMGHItzg,793216285073035264,de
1,"RT @NatGeoChannel: смотрите #BeforeTheFlood прямо здесь, как @LeoDiCaprio путешествует по миру, чтобы справиться с изменением климата https://t.co/LkDehj3tNn httA ¢a, ¬ a ¦",793216449976242177,ru
1,"RT @ABCPolitics: .@realDonaldTrump schwört, ""Milliarden"" an Klimaschutzfonds an die UNO zu streichen, fügt hinzu: ""Ich bin ein Umweltschützer"" https://t.co/P1HÃ ¢â'¬Â¦",793216460524888064,de
